locus	average_fitness	sd	sem	N_insertions
SP_0816	1.047	0.014	0.005	7
SP_0817	1.003	0.060	0.008	64
SP_0820	1.029	0.068	0.006	134
SP_0821	0.989	0.064	0.019	11
SP_0822	1.043	0.063	0.026	6
SP_0823	0.986	0.073	0.009	70
SP_0824	0.957	0.107	0.021	26
SP_0825	0.965	0.042	0.024	3
SP_0826	0.982	0.072	0.008	88
SP_0827	1.015	0.053	0.009	34
SP_0828	1.004	0.032	0.016	4
SP_0829	1.038	0.102	0.012	76
SP_0830	1.059	0.087	0.019	20
SP_0831	1.070	0.075	0.011	50
SP_0832	1.006	0.054	0.020	7
SP_0833	1.027	0.077	0.010	62
SP_0834	1.038	0.089	0.018	25
SP_0835	0.991	0.062	0.016	16
SP_0837	1.043	0.065	0.013	23
SP_0838	1.084	0.037	0.017	5
SP_0839	0.891	0	0	1
SP_0840	1.024	0.066	0.013	26
SP_0841	0.708	0.117	0.048	6
SP_0842	0.981	0.070	0.011	38
SP_0843	1.023	0.088	0.011	70
SP_0844	1.011	0.064	0.013	25
SP_0845	0.994	0.079	0.016	24
SP_0846	1.012	0.079	0.012	44
SP_0847	1.006	0.069	0.011	42
SP_0848	0.986	0.093	0.015	39
SP_0851	0			0
SP_0852	0.966	0.019	0.009	4
SP_0853	0			0
SP_0854	1.004	0.136	0.078	3
SP_0855	0			0
SP_0856	0.931	0.092	0.028	11
SP_0857	0.944	0.070	0.016	19
SP_0858	0.977	0.093	0.012	62
SP_0859	0.976	0.069	0.008	73
SP_0860	1.009	0.053	0.008	40
SP_0861	0.959	0.012	0.009	2
SP_0862	0			0
SP_0864	0.977	0.051	0.014	13
SP_0865	0			0
SP_0866	0.993	0.038	0.014	7
SP_0867	1.236	0.176	0.125	2
SP_0868	0			0
SP_0869	0			0
SP_0870	0.883	0.089	0.063	2
SP_0871	1.051	0.105	0.074	2
SP_0872	0.749	0.163	0.073	5
SP_0873	1.029	0.059	0.020	9
SP_0875	1.022	0.064	0.013	25
SP_0876	0.953	0.136	0.048	8
SP_0877	0.998	0.083	0.008	114
SP_0878	0			0
SP_0879	1.005	0.073	0.010	55
SP_0880	0.965	0.081	0.014	35
SP_0881	0.953	0.094	0.011	69
SP_0882	0.999	0.078	0.010	61
SP_0883	0.994	0.062	0.012	27
SP_0884	1.007	0.067	0.012	33
SP_0885	1.004	0.089	0.008	139
SP_0886	1.018	0.075	0.006	175
SP_0887	1.014	0.076	0.008	94
SP_0888	0			0
SP_0889	0			0
SP_0890	0			0
SP_0891	1.006	0.066	0.011	38
SP_0892	1.004	0.068	0.003	406
SP_0893	1.061	0.080	0.012	42
SP_0894	1.028	0.099	0.008	166
SP_0895	0			0
SP_0896	0			0
SP_0897	0.944	0.061	0.043	2
SP_0898	1.002	0.076	0.008	95
SP_0899	1.004	0.067	0.007	84
SP_0901	1.023	0.072	0.013	32
SP_0902	1.027	0.085	0.010	79
SP_0904	0.998	0.071	0.006	129
SP_0905	0.981	0.080	0.009	78
SP_0906	0.993	0.050	0.020	6
SP_0907	0.996	0.069	0.004	297
SP_0908	0.983	0.067	0.007	82
SP_0909	1.026	0.064	0.014	21
SP_0910	1.016	0.075	0.014	29
SP_0911	0.992	0.077	0.013	37
SP_0912	1.006	0.069	0.008	82
SP_0913	0.986	0.073	0.005	246
SP_0914	1.029	0.057	0.009	39
SP_0916	0.949	0.084	0.007	128
SP_0917	0.974	0.101	0.025	16
SP_0918	0.945	0.081	0.010	60
SP_0919	0.965	0.069	0.006	141
SP_0920	0.966	0.074	0.007	125
SP_0921	0.946	0.073	0.008	83
SP_0922	0.898	0.089	0.010	78
SP_0923	0.997	0.071	0.009	69
SP_0924	1.009	0.065	0.009	47
SP_0925	0.998	0.084	0.008	104
SP_0926	0.971	0.100	0.019	29
SP_0927	0.728	0.098	0.015	42
SP_0928	0.988	0.051	0.016	10
SP_0929	0.871	0	0	1
SP_0930	1.000	0.070	0.006	129
SP_0931	0.993	0.072	0.008	88
SP_0932	0.979	0.087	0.009	88
SP_0933	1.001	0.067	0.010	44
SP_0935	0			0
SP_0936	1.046	0.074	0.030	6
SP_0937	0			0
SP_0938	1.000	0.071	0.015	22
SP_0939	1.016	0.082	0.014	33
SP_0940	0.994	0.057	0.009	38
SP_0943	1.017	0.059	0.006	84
SP_0944	0			0
SP_0945	0			0
SP_0946	0.946	0.094	0.016	37
SP_0947	1.029	0.049	0.019	7
SP_0948	0.967	0.065	0.011	33
SP_0949	1.004	0.074	0.011	43
SP_0950	0.997	0.056	0.007	73
SP_0951	0.997	0.086	0.015	34
SP_0952	0.999	0.075	0.009	63
SP_0953	1.000	0.079	0.011	56
SP_0954	0.999	0.078	0.011	55
SP_0955	1.009	0.072	0.005	197
SP_0956	1.010	0.062	0.011	32
SP_0957	0.989	0.065	0.008	67
SP_0958	1.002	0.078	0.007	122
SP_0959	0			0
SP_0960	0			0
SP_0961	0.950	0.083	0.041	4
SP_0962	0.970	0.064	0.009	49
SP_0963	1.015	0.074	0.010	53
SP_0964	1.032	0.079	0.011	52
SP_0965	1.012	0.112	0.007	257
SP_0966	0.977	0.074	0.008	88
SP_0967	0			0
SP_0968	1.050	0.057	0.040	2
SP_0969	0.969	0.085	0.032	7
SP_0970	1.008	0.081	0.021	15
SP_0971	0			0
SP_0972	1.001	0.093	0.017	30
SP_0973	0			0
SP_0974	0.986	0.065	0.046	2
SP_0975	0.918	0.096	0.015	43
SP_0976	0.821	0.088	0.044	4
SP_0977	1.003	0.077	0.013	33
SP_0978	1.012	0.081	0.012	43
SP_0979	0.988	0.122	0.011	134
SP_0980	0.931	0.115	0.026	20
SP_0981	0.954	0.066	0.008	76
SP_0983	0.985	0.081	0.013	37
SP_0984	0.978	0.070	0.012	34
SP_0985	0.946	0.079	0.016	23
SP_0986	0.988	0.100	0.013	56
SP_0987	0.951	0.123	0.014	74
SP_0988	0			0
SP_0989	0.914	0.085	0.019	19
SP_0990	0.920	0.077	0.045	3
SP_0991	0			0
SP_0992	0			0
SP_0993	1.005	0.097	0.019	27
SP_0994	1.090	0.166	0.117	2
SP_0997	0.985	0.096	0.027	13
SP_0998	0.996	0.054	0.019	8
SP_0999	0.985	0.114	0.017	44
SP_1000	0.999	0.064	0.009	49
SP_1001	0.991	0.072	0.005	192
SP_1002	0.996	0.090	0.012	59
SP_1003	0.988	0.070	0.007	104
SP_1004	1.004	0.089	0.004	397
SP_1005	1.002	0.085	0.005	332
SP_1006	0.990	0.202	0.038	28
SP_1007	1.018	0.078	0.010	56
SP_1008	0.999	0.079	0.007	119
SP_1009	0.994	0.072	0.006	124
SP_1010	1.036	0.064	0.013	25
SP_1011	1.001	0.077	0.010	66
SP_1012	0.968	0.072	0.009	63
SP_1013	0.832	0.097	0.013	53
SP_1014	1.001	0.087	0.011	63
SP_1016	0.731	0	0	1
SP_1017	1.006	0.058	0.022	7
SP_1018	0.985	0.057	0.012	22
SP_1019	1.008	0.073	0.013	34
SP_1020	1.072	0	0	1
SP_1021	0.959	0.077	0.027	8
SP_1022	0			0
SP_1023	0.989	0.070	0.015	21
SP_1024	0.971	0.080	0.010	70
SP_1025	0.951	0.117	0.020	34
SP_1026	0.802	0.148	0.032	21
SP_1027	0.968	0.090	0.012	55
SP_1028	0.819	0.093	0.042	5
SP_1029	0.954	0.095	0.010	96
SP_1030	1.005	0.083	0.012	51
SP_1031	0.972	0.107	0.017	38
SP_1032	0.997	0.065	0.005	145
SP_1033	1.001	0.085	0.006	232
SP_1034	1.002	0.087	0.006	211
SP_1035	0.995	0.071	0.005	167
SP_1036	1.011	0.068	0.013	29
SP_1037	1.005	0.069	0.008	77
SP_1038	1.021	0.064	0.011	35
SP_1039	0.992	0.053	0.012	18
SP_1040	1.003	0.089	0.004	493
SP_1041	0.992	0.066	0.007	85
SP_1042	0.999	0.070	0.016	20
SP_1043	0.986	0.101	0.008	159
SP_1044	1.007	0.071	0.006	160
SP_1045	1.007	0.074	0.007	123
SP_1046	1.014	0.083	0.005	247
SP_1047	1.023	0.086	0.012	53
SP_1048	1.036	0.065	0.008	71
SP_1049	0.999	0.099	0.026	15
SP_1050	1.027	0.085	0.012	53
SP_1051	1.009	0.068	0.006	123
SP_1052	1.015	0.074	0.004	347
SP_1053	1.005	0.070	0.006	128
SP_1057	0.993	0.081	0.008	105
SP_1058	0.985	0.078	0.013	37
SP_1059	0.976	0.195	0.026	57
SP_1060	1.001	0.097	0.011	73
SP_1061	0.992	0.089	0.004	488
SP_1062	1.008	0.077	0.007	120
SP_1063	0.997	0.083	0.005	285
SP_1065	1.010	0.051	0.009	29
SP_1067	0			0
SP_1068	1.079	0.106	0.019	30
SP_1069	0.993	0.073	0.011	46
SP_1070	1.002	0.074	0.009	62
SP_1071	1.004	0.095	0.019	24
SP_1072	0			0
SP_1073	0			0
SP_1074	0.971	0.142	0.064	5
SP_1075	0			0
SP_1076	0.995	0.059	0.015	16
SP_1077	1.019	0.075	0.031	6
SP_1078	1.061	0.026	0.015	3
SP_1079	0			0
SP_1080	0			0
SP_1081	1.128	0	0	1
SP_1082	0.980	0.053	0.013	16
SP_1083	0.985	0.078	0.013	38
SP_1084	0			0
SP_1087	1.018	0.089	0.040	5
SP_1088	1.018	0.085	0.016	28
SP_1089	0.965	0.077	0.016	23
SP_1090	1.042	0.078	0.032	6
SP_1091	1.027	0.040	0.028	2
SP_1092	0.988	0.050	0.015	12
SP_1093	1.012	0.058	0.016	14
SP_1094	0			0
SP_1095	0.865	0.068	0.048	2
SP_1096	0.988	0.075	0.017	19
SP_1097	0.978	0.083	0.015	32
SP_1098	0.999	0	0	1
SP_1099	0.987	0.075	0.010	56
SP_1100	0.918	0.122	0.031	15
SP_1102	1.011	0.045	0.019	6
SP_1103	1.002	0.087	0.024	13
SP_1104	1.004	0.074	0.012	35
SP_1105	0			0
SP_1106	0			0
SP_1107	0			0
SP_1108	0.984	0.129	0.046	8
SP_1109	1.001	0	0	1
SP_1110	0.988	0.048	0.020	6
SP_1111	1.002	0.067	0.007	100
SP_1112	1.025	0.114	0.015	58
SP_1113	0.933	0.039	0.016	6
SP_1114	0.999	0.071	0.007	93
SP_1115	1.010	0.069	0.007	88
SP_1116	1.006	0.085	0.007	168
SP_1117	1.063	0.073	0.021	12
SP_1118	0.987	0.071	0.005	173
SP_1119	0.991	0.068	0.007	94
SP_1120	0.977	0.065	0.010	41
SP_1121	0.992	0.076	0.006	189
SP_1122	0.984	0.081	0.008	116
SP_1123	1.008	0.152	0.011	192
SP_1124	0.993	0.081	0.008	92
SP_1125	0.978	0.081	0.010	63
SP_1126	0.983	0.074	0.008	91
SP_1127	1.011	0.135	0.020	46
SP_1128	0.994	0.002	0.001	2
SP_1129	0.985	0.083	0.007	158
SP_1130	0.925	0	0	1
SP_1131	0.984	0.075	0.012	36
SP_1132	0.984	0.071	0.014	26
SP_1133	0.983	0.089	0.045	4
SP_1134	1.030	0.118	0.015	60
SP_1135	1.003	0.065	0.008	72
SP_1136	1.000	0.074	0.013	34
SP_1137	1.008	0.070	0.005	165
SP_1138	0.989	0.067	0.017	15
SP_1139	1.002	0.076	0.007	115
SP_1140	0.986	0.072	0.009	60
SP_1141	0.995	0.072	0.010	47
SP_1142	0.969	0.077	0.008	100
SP_1143	0.979	0.080	0.011	50
SP_1144	0.964	0.066	0.029	5
SP_1145	0.997	0.078	0.005	234
SP_1146	0			0
SP_1147	0.968	0.092	0.035	7
SP_1150	0.907	0.055	0.025	5
SP_1151	0.841	0	0	1
SP_1152	0.986	0.094	0.033	8
SP_1153	0.974	0.079	0.016	24
SP_1154	1.002	0.075	0.003	610
SP_1155	1.022	0.011	0.006	3
SP_1156	1.001	0.070	0.015	21
SP_1157	0.929	0.083	0.012	49
SP_1158	0.969	0.093	0.019	23
SP_1159	0.952	0.019	0.013	2
SP_1160	0.996	0.077	0.008	90
SP_1161	0.984	0.063	0.006	98
SP_1162	0.972	0.077	0.009	66
SP_1163	0.972	0.085	0.013	41
SP_1164	0.998	0.067	0.008	69
SP_1165	0.952	0.085	0.049	3
SP_1166	0.973	0.087	0.010	73
SP_1167	1.141	0.068	0.048	2
SP_1168	0.995	0.045	0.015	9
SP_1169	1.001	0.071	0.014	27
SP_1170	1.010	0.078	0.009	82
SP_1171	0.952	0.072	0.012	37
SP_1172	1.021	0.019	0.010	4
SP_1173	0.983	0.057	0.011	28
SP_1174	0.999	0.065	0.008	62
SP_1175	1.008	0.072	0.005	239
SP_1176	1.078	0	0	1
SP_1177	0			0
SP_1178	1.043	0.005	0.004	2
SP_1179	1.009	0.067	0.030	5
SP_1180	0.907	0.082	0.036	5
SP_1181	0.961	0.061	0.019	10
SP_1182 (*)	0.903	0.089	0.019	23
SP_1183	0.950	0.063	0.019	11
SP_1184	0.993	0.073	0.006	142
SP_1185	1.001	0.069	0.004	245
SP_1186	0.961	0.163	0.024	48
SP_1187	0.984	0.080	0.008	96
SP_1188	0.973	0.109	0.021	27
SP_1189	1.002	0.086	0.009	88
SP_1190	1.042	0.095	0.067	2
SP_1191	0.994	0.085	0.010	72
SP_1192	0.976	0.070	0.018	16
SP_1193	0.956	0.086	0.016	28
SP_1194	0.979	0.096	0.020	23
SP_1197	0.969	0.080	0.022	13
SP_1198	1.017	0.116	0.027	19
SP_1199	0.987	0.016	0.011	2
SP_1200	0.882	0.075	0.015	24
SP_1201	0.982	0.080	0.012	44
SP_1202	0.954	0.071	0.010	47
SP_1203	1.025	0.040	0.020	4
SP_1204	0			0
SP_1205	0.880	0.165	0.068	6
SP_1206	0.833	0.059	0.042	2
SP_1207	0.914	0.132	0.066	4
SP_1208	1.003	0.078	0.013	39
SP_1209	0.958	0.063	0.028	5
SP_1210	0.984	0.101	0.045	5
SP_1211	0.993	0.057	0.021	7
SP_1212	0.818	0.078	0.018	19
SP_1213	0.967	0.082	0.011	55
SP_1214	0.994	0.076	0.008	91
SP_1215	0.996	0.136	0.019	50
SP_1216	1.022	0.071	0.027	7
SP_1217	1.010	0.053	0.013	16
SP_1218	1.007	0.068	0.016	18
SP_1219	1.019	0	0	1
SP_1220	0.787	0.404	0.202	4
SP_1221	1.007	0.074	0.004	276
SP_1222	0.983	0.086	0.011	60
SP_1223	0.989	0.060	0.023	7
SP_1224	0.997	0.033	0.013	7
SP_1225	1.005	0.050	0.025	4
SP_1226	1.040	0	0	1
SP_1227	0			0
SP_1228	0.989	0.063	0.007	75
SP_1229	0.935	0.081	0.010	59
SP_1230	0			0
SP_1231	1.105	0	0	1
SP_1232	0.953	0.113	0.043	7
SP_1233	0.986	0.070	0.007	103
SP_1234	0.973	0.070	0.011	39
SP_1235	1.036	0.194	0.043	20
SP_1236	0.993	0.060	0.016	15
SP_1237	1.007	0.071	0.017	18
SP_1238	1.024	0.104	0.073	2
SP_1240	0.970	0.084	0.010	69
SP_1241	1.001	0.072	0.006	170
SP_1242	0.995	0.114	0.018	39
SP_1243	0			0
SP_1244	0			0
SP_1245	0.973	0.169	0.028	37
SP_1246	1.035	0.078	0.009	81
SP_1247	0			0
SP_1248	0			0
SP_1249	0.995	0.072	0.009	68
SP_1250	0.994	0.069	0.005	161
SP_1251	1.003	0.072	0.004	260
SP_1252	1.011	0.073	0.026	8
SP_1253	1.061	0.083	0.031	7
SP_1254	1.018	0.072	0.024	9
SP_1255	0.983	0.083	0.014	38
SP_1256	0.991	0.055	0.013	19
SP_1257	0.994	0.067	0.006	123
SP_1258	1.023	0.080	0.009	81
SP_1259	0.976	0.079	0.015	27
SP_1260	1.008	0.075	0.016	21
SP_1261	1.020	0.079	0.012	47
SP_1263	0			0
SP_1264	1.021	0.071	0.006	157
SP_1265	1.056	0.110	0.030	14
SP_1266	1.018	0.089	0.017	28
SP_1267	0			0
SP_1268	0.853	0	0	1
SP_1269	0			0
SP_1270	1.024	0.050	0.036	2
SP_1271	0			0
SP_1272	0.932	0.049	0.035	2
SP_1273	0			0
SP_1274	0.870	0.337	0.107	10
SP_1275	0.883	0.105	0.017	39
SP_1276	0.946	0.155	0.039	16
SP_1277	0.878	0.127	0.040	10
SP_1278	0.972	0.021	0.015	2
SP_1279	0.982	0.112	0.037	9
SP_1280	0			0
SP_1281	0.989	0.065	0.010	43
SP_1282	0.994	0.094	0.009	106
SP_1283	1.001	0.069	0.007	91
SP_1284	1.004	0.098	0.018	30
SP_1285	0.957	0.092	0.014	42
SP_1286	1.008	0.066	0.006	113
SP_1287	0.875	0.122	0.070	3
SP_1288	0.934	0.072	0.032	5
SP_1289	1.008	0.060	0.009	49
SP_1290	1.005	0.065	0.006	109
SP_1291	0.992	0.073	0.007	97
SP_1292	0.997	0.081	0.005	269
SP_1293	0			0
SP_1294	1.004	0.105	0.014	56
SP_1295	1.051	0.123	0.023	30
SP_1296	1.015	0.068	0.014	24
SP_1297	1.055	0	0	1
SP_1298	0			0
SP_1299	0			0
SP_1300	0.994	0.059	0.011	28
SP_1302	1.010	0.036	0.012	9
SP_1303	0.990	0.091	0.025	13
SP_1304	1.003	0.050	0.013	14
SP_1305	1.071	0.081	0.018	21
SP_1306	1.086	0.067	0.009	56
SP_1307	1.038	0.075	0.015	26
SP_1308	1.007	0.079	0.007	133
SP_1315	1.003	0.086	0.011	67
SP_1316	1.014	0.077	0.006	170
SP_1317	1.002	0.093	0.006	271
SP_1318	0.994	0.071	0.007	99
SP_1319	0.996	0.072	0.005	212
SP_1320	0.995	0.067	0.007	81
SP_1321	1.002	0.067	0.006	108
SP_1322	1.011	0.134	0.008	310
SP_1323	1.008	0.062	0.007	80
SP_1324	1.016	0.124	0.008	227
SP_1325	0.999	0.093	0.007	193
SP_1326	0.996	0.089	0.004	553
SP_1327	1.020	0.073	0.012	39
SP_1328	0.993	0.075	0.004	337
SP_1329	1.000	0.074	0.006	173
SP_1330	0.990	0.077	0.008	88
SP_1331	1.003	0.078	0.006	147
SP_1332	0.994	0.069	0.009	63
SP_1333	1.067	0.040	0.020	4
SP_1334	1.002	0.070	0.035	4
SP_1335	0.955	0.072	0.013	31
SP_1336	1.001	0.093	0.010	85
SP_1338	1.006	0.086	0.012	48
SP_1339	0.963	0.041	0.021	4
SP_1340	0.999	0.073	0.004	406
SP_1341	0.995	0.066	0.006	131
SP_1342	1.009	0.075	0.003	466
SP_1343	1.000	0.093	0.005	353
SP_1344	0.986	0.109	0.004	610
SP_1345	0.978	0.018	0.009	4
SP_1346	1.022	0.075	0.013	36
SP_1347	1.008	0.084	0.049	3
SP_1348	0.987	0.047	0.015	10
SP_1349	1.052	0.055	0.023	6
SP_1350	1.024	0.057	0.016	13
SP_1351	0.861	0.111	0.050	5
SP_1353	0.934	0.045	0.032	2
SP_1354	0			0
SP_1355	0			0
SP_1356	0.841	0.092	0.011	65
SP_1357	0.944	0.105	0.014	55
SP_1358	0.977	0.086	0.016	29
SP_1359	1.057	0.068	0.009	53
SP_1360	0.728	0.083	0.024	12
SP_1361	0.604	0.175	0.066	7
SP_1362	0.913	0.122	0.055	5
SP_1363	0			0
SP_1364	0.893	0.036	0.021	3
SP_1365	0.969	0.009	0.006	2
SP_1366	0			0
SP_1367	0			0
SP_1368	0.996	0.067	0.006	123
SP_1369	0.988	0.079	0.012	43
SP_1370	0.965	0.069	0.010	47
SP_1371	0.972	0.072	0.011	46
SP_1372	1.030	0.036	0.013	8
SP_1373	0.996	0.065	0.011	34
SP_1374	0.961	0.067	0.008	66
SP_1375	0.984	0.066	0.008	61
SP_1376	0.976	0.064	0.007	85
SP_1377	0.926	0.084	0.015	33
SP_1378	0.963	0.088	0.010	83
SP_1379	1.031	0.110	0.022	25
SP_1380	1.027	0.078	0.005	204
SP_1381	1.003	0.076	0.016	23
SP_1382	1.007	0.071	0.007	107
SP_1383	1.084	0.071	0.041	3
SP_1384	1.008	0.077	0.011	50
SP_1385	1.013	0.051	0.010	25
SP_1386	0.992	0.070	0.009	56
SP_1387	0.981	0.047	0.009	26
SP_1388	0.971	0.070	0.015	22
SP_1389	1.017	0.103	0.023	20
SP_1390	1.014	0.141	0.053	7
SP_1391	0.986	0.068	0.008	71
SP_1392	0.964	0.081	0.014	32
SP_1393	1.007	0.076	0.007	127
SP_1394	0.977	0.099	0.013	60
SP_1395	0.996	0.054	0.014	14
SP_1396	0.991	0.077	0.010	61
SP_1397	0.939	0.075	0.010	57
SP_1398	0.953	0.069	0.011	39
SP_1399	0.943	0.091	0.020	20
SP_1400	0.951	0.088	0.011	60
SP_1401	0.969	0.080	0.021	15
SP_1402	0.956	0.086	0.016	28
SP_1403	0.939	0.086	0.023	14
SP_1404	1.023	0.095	0.026	13
SP_1405	0			0
SP_1406	1.049	0.077	0.019	17
SP_1407	0.929	0.104	0.022	23
SP_1408	0.967	0.085	0.012	48
SP_1409	0.991	0.084	0.013	44
SP_1410	0.998	0.078	0.016	23
SP_1411	0.942	0.045	0.020	5
SP_1412	0.988	0.093	0.012	59
SP_1413	0.966	0.065	0.037	3
SP_1414	0			0
SP_1415	1.002	0.082	0.027	9
SP_1416	0.962	0.070	0.009	55
SP_1417	0.988	0.091	0.008	139
SP_1419	0.999	0.072	0.010	49
SP_1420	0			0
SP_1421	1.198	0.155	0.049	10
SP_1422	1.004	0.062	0.008	62
SP_1423	1.002	0.069	0.015	21
SP_1424	1.004	0.071	0.006	133
SP_1425	1.032	0.109	0.023	23
SP_1426	1.011	0.065	0.007	77
SP_1427	1.013	0.074	0.012	41
SP_1428	1.014	0.070	0.007	92
SP_1429	1.039	0.059	0.006	103
SP_1430	0.997	0.066	0.005	159
SP_1431	0.987	0.114	0.007	283
SP_1432	1.017	0.073	0.021	12
SP_1433	1.013	0.078	0.006	185
SP_1434	1.014	0.078	0.004	362
SP_1435	1.022	0.077	0.004	336
SP_1436	1.019	0.075	0.005	211
SP_1437	0.991	0.071	0.009	66
SP_1438	1.009	0.075	0.007	127
SP_1440	0.995	0.053	0.015	13
SP_1441	1.005	0.055	0.010	33
SP_1445	0			0
SP_1446	1.031	0.051	0.007	57
SP_1447	0.998	0.091	0.010	90
SP_1448	1.009	0.074	0.007	116
SP_1449	1.044	0.060	0.006	85
SP_1450	0.978	0.082	0.008	99
SP_1451	0.970	0.085	0.017	26
SP_1452	1.008	0.060	0.014	19
SP_1453	1.005	0.087	0.012	50
SP_1454	1.050	0.086	0.035	6
SP_1455	0.995	0.074	0.016	20
SP_1456	0			0
SP_1457	0.967	0.060	0.011	30
SP_1458	1.033	0.144	0.064	5
SP_1459	0			0
SP_1460	0.903	0.014	0.010	2
SP_1461	0			0
SP_1462	1.099	0.074	0.015	26
SP_1463	1.160	0.073	0.009	69
SP_1464	1.127	0.080	0.013	37
SP_1465	1.079	0.110	0.015	51
SP_1466	0.853	0.106	0.011	88
SP_1467	1.066	0.088	0.014	42
SP_1468	1.035	0.053	0.008	47
SP_1469	0.860	0.093	0.047	4
SP_1470	1.012	0.088	0.012	56
SP_1471	1.024	0.087	0.022	16
SP_1472	1.005	0.081	0.006	156
SP_1473	0.925	0.092	0.029	10
SP_1474	0			0
SP_1475	0			0
SP_1476	0.999	0.051	0.008	40
SP_1477	0.976	0.083	0.018	21
SP_1478	0.992	0.079	0.011	55
SP_1479	0.984	0.066	0.005	174
SP_1480	1.004	0.074	0.010	50
SP_1481	0.995	0.062	0.031	4
SP_1482	0.908	0.071	0.011	42
SP_1487	1.020	0.061	0.016	15
SP_1488	1.010	0.098	0.057	3
SP_1489	0			0
SP_1490	0.980	0.064	0.026	6
SP_1491	0			0
SP_1492	0.975	0.099	0.020	24
SP_1493	0.997	0.071	0.007	105
SP_1494	0.992	0.074	0.009	69
SP_1495	1.014	0.073	0.015	25
SP_1497	1.006	0.068	0.011	40
SP_1498	0.965	0.292	0.110	7
SP_1499	1.040	0.034	0.014	6
SP_1500	0.994	0.070	0.008	74
SP_1501	1.013	0.071	0.012	34
SP_1502	0.998	0.069	0.009	54
SP_1504	0.992	0.060	0.008	62
SP_1505	0.903	0.077	0.011	50
SP_1506	0.924	0.002	0.002	2
SP_1507	0			0
SP_1508	1.228	0	0	1
SP_1509	0			0
SP_1510	0			0
SP_1511	0			0
SP_1512	0			0
SP_1513	0			0
SP_1514	0			0
SP_1516	1.030	0.059	0.011	28
SP_1517	0			0
SP_1518	0.729	0.076	0.038	4
SP_1519	0.984	0.060	0.013	21
SP_1520	1.010	0.085	0.016	30
SP_1521	0.900	0.121	0.054	5
SP_1522	0.900	0.092	0.046	4
SP_1523	0.969	0.088	0.010	74
SP_1524	1.009	0.074	0.007	125
SP_1525	1.004	0.073	0.008	95
SP_1526	0.995	0.078	0.005	260
SP_1527	1.017	0.071	0.005	241
SP_1528	1.081	0.057	0.023	6
SP_1529	0.943	0.065	0.033	4
SP_1530	0			0
SP_1531	0.985	0.051	0.012	19
SP_1532	1.001	0.075	0.013	35
SP_1533	0.975	0.061	0.008	53
SP_1534	0			0
SP_1535	1.015	0.069	0.009	59
SP_1536	0.990	0.106	0.027	15
SP_1537	0.859	0.113	0.040	8
SP_1538	1.020	0.083	0.012	49
SP_1539	0			0
SP_1540	0			0
SP_1541	0			0
SP_1542	1.022	0	0	1
SP_1543	1.015	0.156	0.032	24
SP_1544	0.764	0	0	1
SP_1545	0.977	0.090	0.021	18
SP_1546	1.041	0.077	0.013	36
SP_1547	0.990	0.064	0.008	61
SP_1548	1.009	0.070	0.006	150
SP_1549	1.010	0.074	0.025	9
SP_1550	1.001	0.086	0.010	70
SP_1551	0			0
SP_1552	1.082	0.064	0.008	73
SP_1553	0.990	0.074	0.012	38
SP_1554	0			0
SP_1555	0.990	0.103	0.033	10
SP_1556	0.844	0.112	0.050	5
SP_1557	0.961	0.067	0.011	38
SP_1558	1.008	0.092	0.022	18
SP_1559	0			0
SP_1560	0			0
SP_1561	0			0
SP_1562	0.860	0.176	0.072	6
SP_1563	0.877	0.083	0.018	22
SP_1564	0.968	0.056	0.016	13
SP_1565	0.982	0.078	0.011	53
SP_1566	0.998	0.072	0.022	11
SP_1567	1.008	0.044	0.016	8
SP_1568	0			0
SP_1569	1.026	0.041	0.024	3
SP_1570	0.848	0.103	0.052	4
SP_1571	0			0
SP_1572	0			0
SP_1573	0.995	0.081	0.006	185
SP_1574	0.983	0.047	0.027	3
SP_1575	0			0
SP_1576	0.951	0.073	0.014	27
SP_1577	0.967	0.067	0.012	33
SP_1578	1.014	0.078	0.010	66
SP_1579	0.976	0.066	0.014	21
SP_1580	1.001	0.074	0.009	64
SP_1581	1.004	0.059	0.020	9
SP_1583	0.987	0.056	0.008	46
SP_1584	0			0
SP_1585	1.015	0.081	0.011	54
SP_1586	0.846	0.166	0.035	23
SP_1587	1.007	0.069	0.006	116
SP_1588	1.003	0.066	0.007	91
SP_1589	1.033	0.065	0.025	7
SP_1590	1.086	0	0	1
SP_1591	0.932	0.095	0.017	32
SP_1592	1.003	0.061	0.016	15
SP_1597	1.026	0.067	0.014	22
SP_1598	0.988	0.080	0.012	47
SP_1599	0.988	0.086	0.015	32
SP_1600	1.019	0.088	0.010	85
SP_1601	0.978	0.089	0.009	90
SP_1602	0.951	0.079	0.014	30
SP_1603	0.918	0	0	1
SP_1604	0.973	0.048	0.013	13
SP_1605	1.034	0.130	0.058	5
SP_1606	0.919	0.085	0.011	60
SP_1607	0			0
SP_1608	1.011	0.078	0.015	29
SP_1609	1.013	0.075	0.009	68
SP_1610	0.899	0.040	0.023	3
SP_1611	1.043	0.119	0.025	23
SP_1612	1.003	0.077	0.006	162
SP_1615	1.007	0.071	0.004	282
SP_1616	1.001	0.064	0.007	80
SP_1617	1.010	0.071	0.006	137
SP_1618	1.009	0.065	0.012	30
SP_1619	0.986	0.119	0.014	68
SP_1620	0.992	0.075	0.008	83
SP_1621	0.992	0.085	0.005	248
SP_1623	1.006	0.107	0.020	28
SP_1624	1.011	0.048	0.020	6
SP_1625	1.022	0.072	0.006	140
